"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order"
"query_1",TRUE,7.43855333376987e-19,61,1949,35,0.0179579271421242,0.573770491803279,"GO:0031424","GO:BP","keratinization",22903,6706
"query_1",TRUE,9.32375026204974e-17,68,1949,35,0.0179579271421242,0.514705882352941,"GO:0045109","GO:BP","intermediate filament organization",22903,10521
"query_1",TRUE,3.80260306793709e-16,360,1949,87,0.0446382760389944,0.241666666666667,"GO:0008544","GO:BP","epidermis development",22903,3052
"query_1",TRUE,4.01292942258764e-15,1161,1949,188,0.0964597229348384,0.161929371231697,"GO:0060429","GO:BP","epithelium development",22903,13632
"query_1",TRUE,1.98029241283072e-14,1894,1949,268,0.137506413545408,0.141499472016895,"GO:0009888","GO:BP","tissue development",22903,3587
"query_1",TRUE,6.04353263318165e-14,686,1949,127,0.0651616213442791,0.185131195335277,"GO:0030855","GO:BP","epithelial cell differentiation",22903,6491
"query_1",TRUE,1.11313560633683e-13,151,1949,49,0.0251410979989738,0.324503311258278,"GO:0030216","GO:BP","keratinocyte differentiation",22903,6285
"query_1",TRUE,3.5275090942777e-13,296,1949,72,0.0369420215495126,0.243243243243243,"GO:0043588","GO:BP","skin development",22903,10112
"query_1",TRUE,3.93809403793784e-12,89,1949,35,0.0179579271421242,0.393258426966292,"GO:0045104","GO:BP","intermediate filament cytoskeleton organization",22903,10516
"query_1",TRUE,5.92078367923143e-12,90,1949,35,0.0179579271421242,0.388888888888889,"GO:0045103","GO:BP","intermediate filament-based process",22903,10515
"query_1",TRUE,6.79786628639144e-11,218,1949,56,0.0287326834273987,0.256880733944954,"GO:0009913","GO:BP","epidermal cell differentiation",22903,3608
"query_1",TRUE,1.547105971422e-09,2806,1949,342,0.175474602360185,0.121881682109765,"GO:0048513","GO:BP","animal organ development",22903,11949
"query_1",TRUE,1.94819722437761e-09,311,1949,67,0.034376603386352,0.215434083601286,"GO:0098813","GO:BP","nuclear chromosome segregation",22903,17660
"query_1",TRUE,2.25814386811014e-07,89,1949,29,0.0148794253463315,0.325842696629214,"GO:0045132","GO:BP","meiotic chromosome segregation",22903,10533
"query_1",TRUE,9.51437362711927e-07,426,1949,76,0.038994356080041,0.178403755868545,"GO:0000280","GO:BP","nuclear division",22903,77
"query_1",TRUE,3.96560248889944e-06,415,1949,73,0.0374551051821447,0.175903614457831,"GO:0007059","GO:BP","chromosome segregation",22903,2525
"query_1",TRUE,4.53175826268961e-06,61,1949,22,0.0112878399179066,0.360655737704918,"GO:0010965","GO:BP","regulation of mitotic sister chromatid separation",22903,4327
"query_1",TRUE,5.50573062404749e-06,191,1949,43,0.0220625962031811,0.225130890052356,"GO:0000070","GO:BP","mitotic sister chromatid segregation",22903,23
"query_1",TRUE,9.13383232380712e-06,63,1949,22,0.0112878399179066,0.349206349206349,"GO:0051784","GO:BP","negative regulation of nuclear division",22903,13004
"query_1",TRUE,9.23997194259827e-06,48,1949,19,0.00974858902001026,0.395833333333333,"GO:0007094","GO:BP","mitotic spindle assembly checkpoint signaling",22903,2543
"query_1",TRUE,9.23997194259827e-06,48,1949,19,0.00974858902001026,0.395833333333333,"GO:0071174","GO:BP","mitotic spindle checkpoint signaling",22903,15336
"query_1",TRUE,9.23997194259827e-06,48,1949,19,0.00974858902001026,0.395833333333333,"GO:0071173","GO:BP","spindle assembly checkpoint signaling",22903,15335
"query_1",TRUE,1.06460699000767e-05,202,1949,44,0.0225756798358132,0.217821782178218,"GO:1903046","GO:BP","meiotic cell cycle process",22903,21149
"query_1",TRUE,1.2549060770483e-05,182,1949,41,0.0210364289379169,0.225274725274725,"GO:0140013","GO:BP","meiotic nuclear division",22903,18362
"query_1",TRUE,1.28039179142924e-05,64,1949,22,0.0112878399179066,0.34375,"GO:0051306","GO:BP","mitotic sister chromatid separation",22903,12735
"query_1",TRUE,1.38898731908977e-05,49,1949,19,0.00974858902001026,0.387755102040816,"GO:0031577","GO:BP","spindle checkpoint signaling",22903,6764
"query_1",TRUE,2.06190293098965e-05,50,1949,19,0.00974858902001026,0.38,"GO:0033046","GO:BP","negative regulation of sister chromatid segregation",22903,7485
"query_1",TRUE,2.06190293098965e-05,50,1949,19,0.00974858902001026,0.38,"GO:0033048","GO:BP","negative regulation of mitotic sister chromatid segregation",22903,7487
"query_1",TRUE,2.06190293098965e-05,50,1949,19,0.00974858902001026,0.38,"GO:0045841","GO:BP","negative regulation of mitotic metaphase/anaphase transition",22903,10884
"query_1",TRUE,2.06190293098965e-05,50,1949,19,0.00974858902001026,0.38,"GO:2000816","GO:BP","negative regulation of mitotic sister chromatid separation",22903,24163
"query_1",TRUE,2.7920941949685e-05,230,1949,47,0.0241149307337096,0.204347826086957,"GO:0000819","GO:BP","sister chromatid segregation",22903,229
"query_1",TRUE,2.94572023095604e-05,56,1949,20,0.0102616726526424,0.357142857142857,"GO:0033047","GO:BP","regulation of mitotic sister chromatid segregation",22903,7486
"query_1",TRUE,3.02453730529094e-05,51,1949,19,0.00974858902001026,0.372549019607843,"GO:1902100","GO:BP","negative regulation of metaphase/anaphase transition of cell cycle",22903,20527
"query_1",TRUE,3.02453730529094e-05,51,1949,19,0.00974858902001026,0.372549019607843,"GO:0051985","GO:BP","negative regulation of chromosome segregation",22903,13105
"query_1",TRUE,3.02453730529094e-05,51,1949,19,0.00974858902001026,0.372549019607843,"GO:1905819","GO:BP","negative regulation of chromosome separation",22903,23105
"query_1",TRUE,5.86585815887345e-05,58,1949,20,0.0102616726526424,0.344827586206897,"GO:0045839","GO:BP","negative regulation of mitotic nuclear division",22903,10882
"query_1",TRUE,6.1457900095892e-05,117,1949,30,0.0153925089789636,0.256410256410256,"GO:0007088","GO:BP","regulation of mitotic nuclear division",22903,2539
"query_1",TRUE,6.20427803833319e-05,130,1949,32,0.0164186762442278,0.246153846153846,"GO:0048706","GO:BP","embryonic skeletal system development",22903,12113
"query_1",TRUE,6.88069091069121e-05,75,1949,23,0.0118009235505387,0.306666666666667,"GO:1905818","GO:BP","regulation of chromosome separation",22903,23104
"query_1",TRUE,0.000105431126116882,473,1949,76,0.038994356080041,0.160676532769556,"GO:0048285","GO:BP","organelle fission",22903,11782
"query_1",TRUE,0.000117168935830856,4094,1949,437,0.224217547460236,0.106741573033708,"GO:0030154","GO:BP","cell differentiation",22903,6252
"query_1",TRUE,0.00011734042835286,140,1949,33,0.0169317598768599,0.235714285714286,"GO:0051783","GO:BP","regulation of nuclear division",22903,13003
"query_1",TRUE,0.000120419823032475,543,1949,84,0.043099025141098,0.154696132596685,"GO:0051276","GO:BP","chromosome organization",22903,12715
"query_1",TRUE,0.000120724303539863,4095,1949,437,0.224217547460236,0.106715506715507,"GO:0048869","GO:BP","cellular developmental process",22903,12259
"query_1",TRUE,0.000142906621250444,5573,1949,572,0.293483837865572,0.10263771756684,"GO:0048856","GO:BP","anatomical structure development",22903,12247
"query_1",TRUE,0.00015157061233836,128,1949,31,0.0159055926115957,0.2421875,"GO:0061982","GO:BP","meiosis I cell cycle process",22903,14665
"query_1",TRUE,0.000156418865461067,6510,1949,656,0.33658286300667,0.100768049155146,"GO:0032501","GO:BP","multicellular organismal process",22903,7116
"query_1",TRUE,0.000157958465875638,90,1949,25,0.012827090815803,0.277777777777778,"GO:0048704","GO:BP","embryonic skeletal system morphogenesis",22903,12111
"query_1",TRUE,0.000200317050393391,91,1949,25,0.012827090815803,0.274725274725275,"GO:0030071","GO:BP","regulation of mitotic metaphase/anaphase transition",22903,6236
"query_1",TRUE,0.000225576099768805,104,1949,27,0.0138532580810672,0.259615384615385,"GO:0033045","GO:BP","regulation of sister chromatid segregation",22903,7484
"query_1",TRUE,0.000237675279280072,269,1949,50,0.025654181631606,0.185873605947955,"GO:0051321","GO:BP","meiotic cell cycle",22903,12746
"query_1",TRUE,0.000275535294663384,1229,1949,157,0.0805541303232427,0.127746135069162,"GO:0007267","GO:BP","cell-cell signaling",22903,2659
"query_1",TRUE,0.000318257304029427,93,1949,25,0.012827090815803,0.268817204301075,"GO:1902099","GO:BP","regulation of metaphase/anaphase transition of cell cycle",22903,20526
"query_1",TRUE,0.000342569867385101,153,1949,34,0.017444843509492,0.222222222222222,"GO:0007292","GO:BP","female gamete generation",22903,2682
"query_1",TRUE,0.000375823596641206,53,1949,18,0.00923550538737814,0.339622641509434,"GO:0008608","GO:BP","attachment of spindle microtubules to kinetochore",22903,3065
"query_1",TRUE,0.000415537130521118,120,1949,29,0.0148794253463315,0.241666666666667,"GO:0007127","GO:BP","meiosis I",22903,2564
"query_1",TRUE,0.000427633117699062,82,1949,23,0.0118009235505387,0.280487804878049,"GO:0051304","GO:BP","chromosome separation",22903,12733
"query_1",TRUE,0.000434649184593416,942,1949,126,0.064648537711647,0.133757961783439,"GO:0009887","GO:BP","animal organ morphogenesis",22903,3586
"query_1",TRUE,0.000497829784253637,95,1949,25,0.012827090815803,0.263157894736842,"GO:0007091","GO:BP","metaphase/anaphase transition of mitotic cell cycle",22903,2541
"query_1",TRUE,0.000529583585387081,128,1949,30,0.0153925089789636,0.234375,"GO:0051983","GO:BP","regulation of chromosome segregation",22903,13103
"query_1",TRUE,0.000541215650216918,276,1949,50,0.025654181631606,0.181159420289855,"GO:0140014","GO:BP","mitotic nuclear division",22903,18363
"query_1",TRUE,0.00057127710492225,102,1949,26,0.0133401744484351,0.254901960784314,"GO:0051310","GO:BP","metaphase chromosome alignment",22903,12739
"query_1",TRUE,0.000767284428802355,97,1949,25,0.012827090815803,0.257731958762887,"GO:0001708","GO:BP","cell fate specification",22903,387
"query_1",TRUE,0.000767284428802355,97,1949,25,0.012827090815803,0.257731958762887,"GO:0044784","GO:BP","metaphase/anaphase transition of cell cycle",22903,10405
"query_1",TRUE,0.000785623430383525,6,1949,6,0.00307850179579271,1,"GO:0051552","GO:BP","flavone metabolic process",22903,12864
"query_1",TRUE,0.0008095185331235,61,1949,19,0.00974858902001026,0.311475409836066,"GO:0045143","GO:BP","homologous chromosome segregation",22903,10538
"query_1",TRUE,0.00100327529945914,118,1949,28,0.0143663417136993,0.23728813559322,"GO:0050000","GO:BP","chromosome localization",22903,12329
"query_1",TRUE,0.00106143360631096,290,1949,51,0.0261672652642381,0.175862068965517,"GO:0048562","GO:BP","embryonic organ morphogenesis",22903,11986
